Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
bb7doiChallengeTreatSSleepDeprivationDesc,Challenges,Challenge,,,"You take the blue pill, the story ends. You wake up in your bed and believe whatever you want to believe.\n\nYou take the red pill, you stay in Wonderland, and I show you how deep the rabbit hole goes.",,"Du nimmst die blaue Pille, die Geschichte endet. Du wachst in deinem Bett auf und glaubst, was du glauben willst.\n\nDu nimmst die rote Pille, bleibst im Wunderland, und ich zeige dir, wie tief das Kaninchenloch ist.","Tomas la píldora azul, la historia termina. Despiertas en tu cama y crees lo que quieras creer.\n\nTomas la píldora roja, te quedas en el País de las Maravillas, y te muestro qué tan profundo es el agujero del conejo.","Tu prends la pilule bleue, l'histoire se termine. Tu te réveilles dans ton lit et crois ce que tu veux croire.\n\nTu prends la pilule rouge, tu restes au Pays des Merveilles, et je te montre jusqu'où va le terrier du lapin.","Prendi la pillola blu, la storia finisce. Ti svegli nel tuo letto e credi a ciò che vuoi credere.\n\nPrendi la pillola rossa, rimani nel Paese delle Meraviglie, e ti mostro quanto è profonda la tana del coniglio.",青いピルを飲むと、物語は終わり。あなたはベッドで目覚め、信じたいことを信じます。\n\n赤いピルを飲むと、不思議の国に留まり、どれほど深い穴かを見せます。,"파란 약을 먹으면 이야기는 끝납니다. 침대에서 깨어나고 당신이 믿고 싶은 것을 믿습니다.\n\n빨간 약을 먹으면, 당신은 이상한 나라에 남아 있으며, 제가 얼마나 깊은 토끼굴인지 보여드리겠습니다.","Bierzesz niebieską pigułkę, historia się kończy. Budzisz się w swoim łóżku i wierzysz w to, w co chcesz wierzyć.\n\nBierzesz czerwoną pigułkę, zostajesz w Krainie Czarów i pokazuję ci, jak głęboka jest nora królika.  ","Você toma a pílula azul, a história termina. Você acorda na sua cama e acredita no que quiser acreditar.\n\nVocê toma a pílula vermelha, você permanece no País das Maravilhas, e eu te mostro o quão fundo é o buraco do coelho.","Ты принимаешь синюю таблетку, и история заканчивается. Ты просыпаешься в своей постели и веришь во что хочешь верить.\n\nТы принимаешь красную таблетку, остаешься в Стране Чудес, и я показываю тебе, насколько глубок кроличий ход.  ","Mavi hapı alıyorsun, hikaye sona eriyor. Yatakta uyanıyorsun ve neye inanmak istiyorsan ona inanıyorsun.\n\nKırmızı hapı alıyorsun, Harikalar Diyarında kalıyorsun ve tavşan deliğinin ne kadar derin olduğunu gösteriyorum.  ",你吃下蓝色药丸，故事就结束了。你醒来在床上，做你想做的事。\n\n你吃下红色药丸，留在仙境里，我会给你展示兔子洞有多深。,你選擇了藍色藥丸，故事結束了。你在床上醒來，信任你想相信的東西。\n\n你選擇了紅色藥丸，你將留在仙境中，我會展示兔子洞有多深。
bb7doiChallengeTreatSSleepDeprivationShort,Challenges,Challenge,,,Treat Severe Sleep Deprivation symptoms with Stimulants,,Behandle die Symptome des schweren Schlafentzugs mit Stimulanzien,Trata los síntomas de Privación Grave del Sueño con Estimulantes,Traite les symptômes de la Privation Grave de Sommeil avec des Stimulants,Tratta i sintomi della Grave Privazione del Sonno con Stimolanti,深刻な睡眠不足の症状を刺激物で治療する,자극제로 심각한 수면 박탈 증상을 치료하세요,Leczenie objawów ciężkiej deprywacji snu za pomocą stymulantów  ,Trate os sintomas de Privação Grave do Sono com Estimulantes,Лечи симптомы Тяжелой Привлечения Сна со Стимуляторами  ,Ciddi Uyku Giderimi Belirtileri ile Uyarıcılarla Mücadele Et  ,用刺激物治疗严重睡眠剥夺的症状,用刺激劑處理嚴重失眠症狀
bb7doiChallengeSurvive7DaysAwake,Challenges,Challenge,,,Survive 7 Days Without Sleep,,Überlebe 7 Tage ohne Schlaf,Sobrevive 7 Días Sin Dormir,Survivre 7 Jours Sans Dormir,Sopravvivi 7 Giorni Senza Dormire,7日間寝ずに生き延びる,7일 동안 잠을 자지 않기,Przetrwaj 7 dni bez snu  ,Sobreviva 7 Dias Sem Dormir,Выжить 7 Дней Без Сна  ,7 Gün Uykusuzlukta Hayatta Kal  ,在没有睡眠的情况下生存7天,在無睡眠狀態下生存7天
bb7doiChallengeSurvive7DaysAwakeDesc,Challenges,Challenge,,,"[9966FF]In shadows cast by waning light so cold,\nA lone soul labors ‘neath the night’s dark fold,\nFor seven days, they toil in fevered dream,\nA fort to build against a blood-red gleam.\n\nThe moon now bleeds, and spectral echoes wail,\nThrough halls of death, where silence leaves its trail,\nTheir hands are worn, their heart a haunted haze,\nThe price of sleepless nights and endless days.\n\nWhen dawn breaks through, and carnage meets the sun,\nThey stand alone, their struggle all but done.\nThe dead lie strewn, while those left behind weep,\nFor sanity is lost, but victory’s deep.[-]",,"[9966FF]In Schatten, geworfen von schwindendem, kaltem Licht,\nArbeitet eine einsame Seele unter dem dunklen Mantel der Nacht,\nSieben Tage lang, arbeiten sie in fieberhaftem Schlaf,\nBauen eine Festung gegen ein blutrotes Glühen.\n\nDer Mond blutet jetzt, und geisterhafte Echos heulen,\nDurch Hallen des Todes, wo die Stille ihre Spur hinterlässt,\nIhre Hände sind abgenutzt, ihr Herz ein nebliger Qual,\nDer Preis für schlaflose Nächte und endlose Tage.\n\nWenn der Morgen graut und das Gemetzel die Sonne findet,\nSind sie allein, ihr Kampf ist fast vorbei.\nDie Toten liegen verstreut, während die Überlebenden weinen,\nDenn der Verstand ist verloren, aber der Sieg ist tief.[-]","[9966FF]En sombras proyectadas por la luz menguante tan fría,\nUn alma solitaria trabaja bajo el oscuro manto de la noche,\nDurante siete días, laboran en un febril sueño,\nConstruyendo un fuerte contra un resplandor rojo sangre.\n\nLa luna ahora sangra, y los ecos espectrales aúllan,\nA través de salas de muerte, donde el silencio deja su rastro,\nSus manos están desgastadas, su corazón es un neblinoso tormento,\nEl precio de noches sin dormir y días interminables.\n\nCuando el amanecer rompe, y el carnaje encuentra al sol,\nEllos están solos, su lucha casi ha terminado.\nLos muertos yacen dispersos, mientras los que quedan lloran,\nPues la cordura está perdida, pero la victoria es profunda.[-]","[9966FF]Dans des ombres projetées par une lumière déclinante si froide,\nUne âme solitaire travaille sous le sombre manteau de la nuit,\nPendant sept jours, ils œuvrent dans un rêve fiévreux,\nConstruisant une forteresse contre une lueur rouge sang.\n\nLa lune saigne maintenant, et les échos spectraux hurlent,\nÀ travers des salles de mort, où le silence laisse sa trace,\nLeurs mains sont usées, leur cœur est un tourment nébuleux,\nLe prix des nuits sans sommeil et des jours sans fin.\n\nQuand l'aube se lève, et que le carnage rencontre le soleil,\nIls sont seuls, leur combat est presque terminé.\nLes morts jonchent le sol, tandis que les survivants pleurent,\nCar la santé mentale est perdue, mais la victoire est profonde.[-]","[9966FF]In ombre proiettate dalla luce calante così fredda,\nUn'anima solitaria lavora sotto il manto oscuro della notte,\nPer sette giorni, lavorano in un febbrile sogno,\nCostruendo una fortezza contro un bagliore rosso sangue.\n\nLa luna ora sanguina, e gli echi spettrali ululano,\nAttraverso sale di morte, dove il silenzio lascia il suo segno,\nLe loro mani sono logore, il loro cuore è un tormento nebbioso,\nIl prezzo di notti senza sonno e giorni interminabili.\n\nQuando l'alba sorge, e la carneficina incontra il sole,\nSono soli, la loro lotta è quasi finita.\nI morti giacciono sparsi, mentre i sopravvissuti piangono,\nPerché la sanità mentale è persa, ma la vittoria è profonda.[-]","[9966FF]冷たい衰える光の影に投影された,\n孤独な魂が夜の暗いマントの下で働く,\n7日間、熱狂的な夢の中で働き,\n血のような赤い輝きに対する要塞を築く。\n\n月は今、血を流し、幽霊のこだまする叫びが,\n死の廊下を通り、沈黙が跡を残す,\n彼らの手は擦り減り、心は霧のような苦痛,\n眠らない夜と終わらない日の代償。\n\n夜明けが来て、 carnage が太陽に見つかると,\n彼らは孤独で、戦いはほぼ終わり。\n死者は散らばり、残った者たちは泣き,\n正気は失われたが、勝利は深い。[–]","[9966FF]희미한 빛이 드리운 그림자 속에서,\n고독한 영혼이 어둠의 장막 아래에서 일합니다,\n7일 동안, 그들은 열광적인 꿈 속에서 일합니다,\n핏빛 붉은 빛에 맞서 요새를 건설합니다.\n\n달이 이제 피를 흘리고, 유령의 메아리가 울립니다,\n침묵이 자취를 남기는 죽음의 홀을 가로질러,\n그들의 손은 닳고, 그들의 마음은 흐릿한 고통,\n수면 없는 밤과 끝없는 날의 대가입니다.\n\n새벽이 밝아오면, 대학살이 태양을 만납니다,\n그들은 혼자입니다, 그들의 싸움은 거의 끝났습니다.\n죽은 자들이 흩어져 있고, 남은 자들이 울고 있습니다,\n왜냐하면 정신은 잃었지만, 승리는 깊습니다.[-]","[9966FF]W cieniach rzucanych przez zimne, malejące światło,\nSamotna dusza pracuje pod mrocznym płaszczem nocy,\nPrzez siedem dni, pracują w gorączkowym śnie,\nBudując fortecę przeciwko krwawemu blaskowi.\n\nKsiężyc teraz krwawi, a echa spektralne wyją,\nPrzez sale śmierci, gdzie cisza zostawia swój ślad,\nIch ręce są znoszone, ich serce to mglisty niepokój,\nCena za noce bez snu i nieskończone dni.\n\nGdy świt nadejdzie, a rzeź znajdzie słońce,\nSą sami, ich walka niemal dobiegła końca.\nMartwi leżą rozsiani, podczas gdy ci, którzy zostali, płaczą,\nBo rozsądek jest utracony, ale zwycięstwo jest głębokie.[-]  ","[9966FF]Nas sombras projetadas pela luz minguante tão fria,\nUma alma solitária trabalha sob o manto escuro da noite,\nDurante sete dias, labuta em um sonho febril,\nConstruindo um forte contra um brilho vermelho sangue.\n\nA lua agora sangra, e os ecos espectrais uivam,\nAtravés de salas de morte, onde o silêncio deixa seu rastro,\nSuas mãos estão desgastadas, seu coração é um tormento nebuloso,\nO preço de noites sem dormir e dias intermináveis.\n\nQuando a manhã chega, e o carnificina encontra o sol,\nEles estão sozinhos, sua luta quase acabou.\nOs mortos jazem dispersos, enquanto os que restam choram,\nPois a sanidade está perdida, mas a vitória é profunda.[-]","[9966FF]В тенях, отбрасываемых холодным убывающим светом,\nОдна одинокая душа трудится под темной вуалью ночи,\nВ течение семи дней, трудясь в жарком сне,\nСтроя укрепление против кровавого света.\n\nЛуна теперь истекает кровью, и призрачные эхо воют,\nЧерез залы смерти, где тишина оставляет свой след,\nИх руки изношены, их сердце - туманное мучение,\nЦена бессонных ночей и бесконечных дней.\n\nКогда рассвет разрывается, и резня находит солнце,\nОни остаются одни, их борьба почти окончена.\nМертвецы лежат разбросанными, пока оставшиеся плачут,\nТак как рассудок утрачен, но победа велика.[-]  ","[9966FF]Soğuyan azalan ışık tarafından projeksiyonlanmış gölgelerde,\nBir yalnız ruh gece karanlığının altında çalışır,\nYedi gün boyunca, ateşli bir uykuda çalışırlar,\nKanın kırmızı parıltısına karşı bir kale inşa ederler.\n\nAy şimdi kanıyor ve hayalet yankıları uluyor,\nÖlüm salonlarından geçerken, sessizlik izini bırakıyor,\nEllerinde yorgunluk var, kalpleri puslu bir acı,\nUykusuz gece ve sonsuz günlerin bedeli.\n\nŞafak vaktinde, et parçalanıp güneşle buluştuğunda,\nOnlar yalnızlar, mücadeleleri neredeyse bitmiş.\nÖlüler dağılmış, geride kalanlar ağlıyor,\nÇünkü akıl sağlığı kaybolmuş, ama zafer derin.[-]  ",[9966FF]在冷冽的月光下投射出的阴影中，\n一个孤独的灵魂在夜晚的黑暗帷幕下工作，\n七天来，他们在焦躁的梦中劳作，\n建造一道强大的防御抵御血红的光芒。\n\n月亮现在流血，幽灵般的回声在哀号，\n穿越死亡的房间，沉默留下了痕迹，\n他们的手已经磨损，他们的心脏是迷雾中的折磨，\n无眠之夜和无尽白昼的代价。\n\n当黎明破晓，血肉横飞在太阳下，\n他们孤身一人，他们的战斗几乎结束。\n死者散落一地，剩下的人哭泣，\n因为理智已丧失，但胜利却深远。[ - ],[9966FF]在寒冷的微光下投射的陰影中，\n一個孤獨的靈魂在黑暗的夜晚下工作，\n在七天的時間裡，他們在焦躁的夢中勞作，\n建造一個抵禦血紅光芒的堡壘。\n\n月亮現在流血，幽靈的回聲嘯叫，\n穿越死亡的房間，靜默留下痕跡，\n他們的手已經磨損，心靈是霧濛濛的煎熬，\n無眠的夜晚和無盡的日子付出的代價。\n\n當黎明破曉，血腥的屠殺迎接陽光，\n他們獨自一人，戰鬥幾乎結束。\n死者散落一地，剩下的人在哀號，\n理智已經喪失，但勝利卻是深刻的。[-]
bb7doiChallengeSurvive7DaysAwakeShort,Challenges,Challenge,,,Take Sedatives after surviving for 7 days (168 hours) without sleep,,"Nimm Sedativa, nachdem du 7 Tage (168 Stunden) ohne Schlaf überlebt hast",Toma Sedantes después de sobrevivir 7 días (168 horas) sin dormir,Prends des Sédatifs après avoir survécu 7 jours (168 heures) sans dormir,Prendi Sedativi dopo aver sopravvissuto 7 giorni (168 ore) senza dormire,7日間（168時間）寝ずに生き延びた後に鎮静剤を服用,7일(168시간) 동안 잠을 자지 않고 살아남은 후 진정제를 복용하세요,Weź środki uspokajające po przetrwaniu 7 dni (168 godzin) bez snu  ,Tome Sedativos após sobreviver 7 dias (168 horas) sem dormir,Принимай Седативные средства после выживания 7 дней (168 часов) без сна  ,7 gün (168 saat) uykusuz kalındıktan sonra Sakinleştirici al  ,在没有睡眠的情况下生存7天（168小时）后使用镇静剂,在生存7天（168小時）後服用鎮靜劑
bb7doi7daysOfInsomnia_name,Quest,Quest Info,,,7 Days of Insomnia,,7 Tage Insomnie,7 Días de Insomnio,7 Jours d'Insomnie,7 Giorni di Insonnia,7日間の不眠症,7일간의 불면증,7 dni bezsenności  ,7 Dias de Insônia,7 Дней Бессонницы  ,7 Gün Uykusuzluk  ,7天失眠,7天失眠
bb7doi7daysOfInsomnia_subtitle,Quest,Quest Info,,,7 Days of Insomnia,,7 Tage Insomnie,7 Días de Insomnio,7 Jours d'Insomnie,7 Giorni di Insonnia,7日間の不眠症,7일간의 불면증,7 dni bezsenności  ,7 Dias de Insônia,7 Дней Бессонницы  ,7 Gün Uykusuzluk  ,7天失眠,7天失眠
bb7doi7daysOfInsomnia_desc,Quest,Quest Info,,,You are crazy enough to have completed the 7 Days of Insomnia Challenge Group.\n\nCommendations are in order.\n\nGo to any trader to collect your reward… but maybe you should rest first?,,"Du bist verrückt genug, um die 7-Tage-Insomnie-Herausforderungsgruppe abgeschlossen zu haben.\n\nGlückwunsch.\n\nGeh zu einem Händler, um deine Belohnung abzuholen… aber vielleicht solltest du dich zuerst ausruhen.",Eres lo suficientemente loco como para haber completado el Grupo de Desafío de 7 Días de Insomnio.\n\nFelicitaciones.\n\nVe a cualquier comerciante para recoger tu recompensa… pero tal vez deberías descansar primero.,Tu es assez fou pour avoir complété le Groupe de Défi des 7 Jours d'Insomnie.\n\nFélicitations.\n\nVa voir n'importe quel commerçant pour récupérer ta récompense… mais tu devrais peut-être te reposer d'abord.,Sei abbastanza pazzo da aver completato il Gruppo di Sfida di 7 Giorni di Insonnia.\n\nCongratulazioni.\n\nVai da qualsiasi commerciante per raccogliere la tua ricompensa... ma forse dovresti riposare prima.,7日間の不眠症チャレンジグループを完了するほど狂っているあなた。\n\nおめでとう。\n\n報酬を受け取るために、任意の商人に行ってください…しかし、まず休むべきかもしれません。,7일간의 불면증 도전 그룹을 완료할 만큼 충분히 미쳤습니다.\n\n축하합니다.\n\n보상을 받으려면 아무 상인에게나 가세요… 그러나 먼저 잠시 쉬어야 할 것입니다.,"Jesteś wystarczająco szalony, aby ukończyć Grupę Wyzwań 7 Dni Bezsenności.\n\nGratulacje.\n\nIdź do dowolnego handlarza, aby odebrać swoją nagrodę… ale może powinieneś najpierw odpocząć.  ",Você é louco o suficiente para ter completado o Grupo de Desafio de 7 Dias de Insônia.\n\nParabéns.\n\nVá a qualquer comerciante para pegar sua recompensa... mas talvez você devesse descansar primeiro.,"Ты достаточно сумасшедший, чтобы завершить Группу Испытаний 7 Дней Бессонницы.\n\nПоздравляю.\n\nПосети любого торговца, чтобы получить свою награду… но, возможно, стоит сначала отдохнуть.  ",7 Gün Uykusuzluk Mücadele Grubunu tamamlayacak kadar delisin.\n\nTebrikler.\n\nÖdülünü almak için herhangi bir tüccara git… ama önce belki dinlenmelisin.  ,你已经足够疯狂完成了7天失眠挑战组。\n\n恭喜。\n\n去任何商人那里领取你的奖励……但也许你应该先休息一下。,你已經瘋到完成了7天失眠挑戰組。\n\n恭喜。\n\n去任何商人那裡領取你的獎勳……但也許你應該先休息一下。
bb7doi7daysOfInsomnia_completion,Quest,Quest Info,,,You are crazy enough to have completed the 7 Days of Insomnia Challenge Group.,,"Du bist verrückt genug, um die 7-Tage-Insomnie-Herausforderungsgruppe abgeschlossen zu haben.",Eres lo suficientemente loco como para haber completado el Grupo de Desafío de 7 Días de Insomnio.,Tu es assez fou pour avoir complété le Groupe de Défi des 7 Jours d'Insomnie.,Sei abbastanza pazzo da aver completato il Gruppo di Sfida di 7 Giorni di Insonnia.,7日間の不眠症チャレンジグループを完了するほど狂っているあなた。,7일간의 불면증 도전 그룹을 완료할 만큼 충분히 미쳤습니다.,"Jesteś wystarczająco szalony, aby ukończyć Grupę Wyzwań 7 Dni Bezsenności.  ",Você é louco o suficiente para ter completado o Grupo de Desafio de 7 Dias de Insônia.,"Ты достаточно сумасшедший, чтобы завершить Группу Испытаний 7 Дней Бессонницы.  ",7 Gün Uykusuzluk Mücadele Grubunu tamamlayacak kadar delisin.  ,你已经足够疯狂完成了7天失眠挑战组。,你已經瘋到完成了7天失眠挑戰組。
InsomniaChanceTracker,buffs,Buff,,,Total Chance of Insomnia,,Gesamte Insomnie-Chance,Chance Total de Insomnio,Chance Totale d'Insomnie,Probabilità Totale di Insonnia,不眠症の総チャンス,총 불면증 확률,Całkowita szansa na bezsenność  ,Chance Total de Insônia,Общий Шанс Бессонницы  ,Uykusuzluk Şansı  ,失眠总机会,失眠總機率
InsomniaChanceTrackerDesc,buffs,Buff,,,"The next time you wake up naturally, the chance increase from short-term effects will be completely removed, but the increase from long-term effects will be divided by 2 instead.\nThe following items increase this chance in the short term:\n\nCoffee (any) +6%\nMega Crush +8%\nAlcohol (any) at bedtime +20%\nStimulants +20%\n\nThe following events increase this chance in the long term:\n\nStimulants +4%\nSleep Deprivation +10%\nSevere Sleep Deprivation +20%\nGetting attacked during sleep +40%",,"Das nächste Mal, wenn du natürlich aufwachst, wird die Erhöhung der Chance durch kurzfristige Effekte vollständig entfernt, aber die Erhöhung durch langfristige Effekte wird halbiert. Die folgenden Gegenstände erhöhen diese kurzfristige Chance:\n\nKaffee (beliebig) +6%\nMega Crush +8%\nAlkohol (beliebig) beim Schlafen +20%\nStimulanzien +20%\n\nDie folgenden Ereignisse erhöhen diese langfristige Chance:\n\nStimulanzien +4%\nSchlafentzug +10%\nSchwerer Schlafentzug +20%\nAngegriffen werden, während du schläfst +40%","La próxima vez que despiertes naturalmente, el incremento de la chance por efectos a corto plazo se eliminará por completo, pero el incremento por efectos a largo plazo se dividirá entre 2. Los siguientes items incrementan esta chance a corto plazo:\n\nCafé (cualquiera) +6%\nMega Crush +8%\nAlcohol (cualquiera) al dormir +20%\nEstimulantes +20%\n\nLos siguientes eventos incrementan esta chance a largo plazo:\n\nEstimulantes +4%\nPrivación del Sueño +10%\nPrivación Grave del Sueño +20%\nSer atacado mientras duermes +40%","La prochaine fois que tu te réveilles naturellement, l'augmentation de la chance par effets à court terme sera complètement éliminée, mais l'augmentation par effets à long terme sera divisée par 2. Les items suivants augmentent cette chance à court terme:\n\nCafé (n'importe lequel) +6%\nMega Crush +8%\nAlcool (n'importe lequel) en dormant +20%\nStimulants +20%\n\nLes événements suivants augmentent cette chance à long terme:\n\nStimulants +4%\nPrivation de Sommeil +10%\nPrivation Grave de Sommeil +20%\nÊtre attaqué pendant que tu dors +40%","La prossima volta che ti sveglierai naturalmente, l'aumento della probabilità per effetti a breve termine verrà eliminato completamente, ma l'aumento per effetti a lungo termine sarà diviso per 2. I seguenti oggetti incrementano questa probabilità a breve termine:\n\nCaffè (qualsiasi) +6%\nMega Crush +8%\nAlcool (qualsiasi) al dormire +20%\nStimolanti +20%\n\nI seguenti eventi incrementano questa probabilità a lungo termine:\n\nStimolanti +4%\nPrivazione del Sonno +10%\nGrave Privazione del Sonno +20%\nEssere attaccati mentre dormi +40%",次に自然に目覚めるとき、短期的な効果によるチャンスの増加は完全に取り除かれますが、長期的な効果による増加は2分の1になります。次のアイテムはこの短期的なチャンスを増加させます：\n\nカフェイン（どれでも） +6%\nメガクラッシュ +8%\n寝るときのアルコール（どれでも） +20%\n刺激物 +20%\n\n次のイベントはこの長期的なチャンスを増加させます：\n\n刺激物 +4%\n睡眠不足 +10%\n深刻な睡眠不足 +20%\n寝ているときに攻撃される +40%,"다음에 자연스럽게 깨어날 때, 단기 효과에 의한 확률 증가가 완전히 제거되지만, 장기 효과에 의한 증가는 절반으로 나뉩니다. 다음 항목은 이 단기 확률을 증가시킵니다:\n\n커피 (모든 종류) +6%\n메가 크러쉬 +8%\n잠들 때 알코올 (모든 종류) +20%\n자극제 +20%\n\n다음 이벤트는 장기 확률을 증가시킵니다:\n\n자극제 +4%\n수면 박탈 +10%\n심각한 수면 박탈 +20%\n잠자는 동안 공격받음 +40%","Następnym razem, gdy obudzisz się naturalnie, wzrost szansy z powodu krótkoterminowych efektów zostanie całkowicie usunięty, ale wzrost z powodu długoterminowych efektów zostanie podzielony przez 2. Następujące przedmioty zwiększają tę szansę w krótkim okresie:\n\nKawa (dowolna) +6%\nMega Crush +8%\nAlkohol (dowolny) podczas snu +20%\nStymulanty +20%\n\nNastępujące wydarzenia zwiększają tę szansę w długim okresie:\n\nStymulanty +4%\nDeprywacja snu +10%\nCiężka deprywacja snu +20%\nBycie atakowanym podczas snu +40%  ","Na próxima vez que você acordar naturalmente, o aumento da chance por efeitos a curto prazo será eliminado completamente, mas o aumento por efeitos a longo prazo será dividido por 2. Os seguintes itens aumentam essa chance a curto prazo:\n\nCafé (qualquer um) +6%\nMega Crush +8%\nÁlcool (qualquer um) ao dormir +20%\nEstimulantes +20%\n\nOs seguintes eventos aumentam essa chance a longo prazo:\n\nEstimulantes +4%\nPrivação do Sono +10%\nPrivação Grave do Sono +20%\nSer atacado enquanto você dorme +40%","В следующий раз, когда ты проснешься естественным образом, увеличение шанса из-за краткосрочных эффектов полностью исчезнет, но увеличение из-за долгосрочных эффектов будет уменьшено в 2 раза. Следующие предметы увеличивают этот шанс краткосрочно:\n\nКофе (любой) +6%\nMega Crush +8%\nАлкоголь (любой) при сне +20%\nСтимуляторы +20%\n\nСледующие события увеличивают этот шанс в долгосрочной перспективе:\n\nСтимуляторы +4%\nПривлечение Сна +10%\nТяжелая Привлечение Сна +20%\nАтака во время сна +40%  ","Bir sonraki doğal uyanışında, kısa vadeli etkilerden kaynaklanan şans artışı tamamen ortadan kalkacak, ancak uzun vadeli etkilerden kaynaklanan artış 2'ye bölünecek. Aşağıdaki eşyalar kısa vadeli şansı artırır:\n\nKahve (herhangi) +%6\nMega Crush +%8\nAlkol (herhangi) uyurken +%20\nUyarıcılar +%20\n\nAşağıdaki olaylar uzun vadeli şansı artırır:\n\nUyarıcılar +%4\nUyku Giderimi +%10\nCiddi Uyku Giderimi +%20\nUyurken saldırıya uğramak +%40%  ",下次你自然醒来时，短期效果增加的机会将完全消失，但长期效果增加的机会将减半。以下物品会增加短期机会：\n\n咖啡（任何）+6%\nMega Crush +8%\n酒精（任何）睡觉时 +20%\n刺激物 +20%\n\n以下事件会增加长期机会：\n\n刺激物 +4%\n睡眠剥夺 +10%\n严重睡眠剥夺 +20%\n睡觉时被攻击 +40%,下一次自然醒來時，短期效果增加的機率將完全消除，但長期效果增加的機率將減半。以下物品增加短期機率：\n\n咖啡（任何） +6%\nMega Crush +8%\n酒精（任何）入睡時 +20%\n刺激劑 +20%\n\n以下事件增加長期機率：\n\n刺激劑 +4%\n失眠 +10%\n嚴重失眠 +20%\n睡覺時被攻擊 +40%
InsomniaChanceHUD,buffs,Buff,,,+Chance of Insomnia,,+Insomnie-Chance,+Chance de Insomnio,+Chance d'Insomnie,+Probabilità di Insonnia,+不眠症のチャンス,+불면증 확률,+Szansa na bezsenność  ,+Chance de Insônia,+Шанс Бессонницы  ,+Uykusuzluk Şansı  ,+失眠机会,+失眠機率
InsomniaChanceHUDDesc,buffs,Buff,,,Whatever you just did increased your chances of getting insomnia.,,"Was auch immer du gerade getan hast, hat deine Chancen auf Insomnie erhöht.",Lo que sea que acabes de hacer aumentó tus chances de tener insomnio.,Quoi que tu viennes de faire a augmenté tes chances d'avoir de l'insomnie.,Qualsiasi cosa tu abbia appena fatto ha aumentato le tue probabilità di avere insonnia.,あなたが今したことは、不眠症になる確率を高めました。,방금 한 일은 불면증 확률을 증가시켰습니다.,"Cokolwiek właśnie zrobiłeś, zwiększyło twoje szanse na bezsenność.  ",O que quer que você tenha acabado de fazer aumentou suas chances de ter insônia.,"То, что ты только что сделал, увеличило твои шансы на бессонницу.  ",Yaptığın şey uykusuzluk şansını artırdı.  ,你刚做的任何事情都增加了你失眠的机会。,你剛做的任何事情增加了你失眠的機率。
BedtimeTooltip,buffs,Buff,,,You’ve been awake for 20 hours. You should sleep soon.,,Du bist seit 20 Stunden wach. Du solltest bald schlafen.,Has estado en pie por 20 horas. Deberías dormir pronto.,Tu es debout depuis 20 heures. Tu devrais dormir bientôt.,Sei stato in piedi per 20 ore. Dovresti dormire presto.,20時間起きていました。そろそろ寝た方がいいです。,20시간 동안 깨어 있었습니다. 곧 잠을 자야 합니다.,Byłeś na nogach przez 20 godzin. Powinieneś wkrótce się wyspać.,Você esteve acordado por 20 horas. Você deveria dormir em breve.,Ты был бодрствующим 20 часов. Тебе следует поспать скоро.,20 saattir ayaktasın. Yakında uyumalısın.,你已经醒了20小时。你应该尽快睡觉。,你已經清醒了20小時。你應該快點睡覺。
BedtimeDesc,buffs,Buff,,,"Twinkle, twinkle, in the night,\nZombies creeping out of sight.\nHide away and don't make a sound,\nOr they’ll find you all around…",,"Wenn du in den nächsten Stunden nicht schläfst, wirst du anfangen, die Auswirkungen des Schlafmangels zu spüren.\nDer Zähler zeigt die Stunden an, die du ohne ausreichenden Schlaf verbracht hast.","Si no duermes en las próximas horas, empezarás a sentir los efectos de la privación de sueño.\nEl contador muestra las horas que llevas sin dormir lo suficiente.","Si vous ne dormez pas dans les prochaines heures, vous commencerez à ressentir les effets de la privation de sommeil.\nLe compteur indique les heures écoulées depuis que vous n'avez pas suffisamment dormi.","Se non dormi nelle prossime ore, inizierai a sentire gli effetti della privazione del sonno.\nIl contatore mostra le ore che hai passato senza dormire a sufficienza.",次の数時間以内に眠らなければ、睡眠不足の影響を感じ始めるでしょう。\nカウンターは、十分に眠らずに過ごした時間を表示しています。,다음 몇 시간 안에 잠을 자지 않으면 수면 부족의 영향을 느끼기 시작할 것입니다.\n카운터는 충분한 수면을 취하지 않은 시간을 표시합니다.,"Jeśli nie zaśniesz w ciągu najbliższych godzin, zaczniesz odczuwać skutki deprywacji snu.\nLicznik pokazuje godziny, które minęły od momentu, kiedy nie spałeś wystarczająco.","Se você não dormir nas próximas horas, começará a sentir os efeitos da privação de sono.\nO contador mostra as horas que você está sem dormir o suficiente.","Если ты не поспишь в ближайшие несколько часов, начнешь ощущать последствия нехватки сна.\nСчетчик показывает количество часов, которые ты провел без достаточного сна.","Eğer önümüzdeki saatlerde uyumazsan, uykusuzluk belirtilerini hissetmeye başlayacaksın.\nSayaç, yeterince uyumadan geçen saatleri gösterir.",如果你在接下来的几小时内没有睡觉，你会开始感受到睡眠剥夺的影响。\n计时器显示你已经有多少小时没有充足睡眠。,如果在接下來的幾小時內你沒有睡覺，你將開始感受到睡眠剝奪的影響。\n計時器顯示你已經有多少小時沒有充足的睡眠。
